Peak,Name,strain,species,FC,log2FC,pvalue_unadjusted,pvalue_BH_corrected,asterisks_BH_corrected
n_P219,D-(+)-Malic acid,CDC_ID_258,PA,0.07084390885107635,-3.819212374007803,0.00216502933303838,0.004583050857802594,*
n_P219,D-(+)-Malic acid,CDC_ID_474,SA,7.907094403960384,2.983147649300692,0.00216502933303838,0.004583050857802594,*
n_P219,D-(+)-Malic acid,CDC_ID_484,SA,10.9702427600841,3.4555235463253076,0.00216502933303838,0.004583050857802594,*
n_P219,D-(+)-Malic acid,Isogenic,PA,0.169884042109322,-2.557377754142758,0.0298420644179543,0.05108035980929065,
n_P219,D-(+)-Malic acid,SCFM_evolved,PA,0.14854603504818653,-2.7510179972378266,0.00216502933303838,0.004583050857802594,*
n_P219,D-(+)-Malic acid,USA300,SA,11.136010858022372,3.4771606178683396,0.00216502933303838,0.004583050857802594,*
n_P229,Isocitric acid,ATCC_29213,SA,57.64413861849008,5.849102013849505,0.00216502933303838,0.004583050857802594,*
n_P229,Isocitric acid,CDC_ID_234,PA,0.7410679158930769,-0.4323223291009524,0.0106033453821227,0.01985755735578446,*
n_P229,Isocitric acid,CDC_ID_249,PA,0.8070915239810498,-0.3091958108433149,0.0298420644179543,0.05108035980929065,
n_P229,Isocitric acid,CDC_ID_258,PA,0.8332469354946428,-0.26318398846820446,0.0298420644179543,0.05108035980929065,
n_P229,Isocitric acid,CDC_ID_474,SA,156.5826474209778,7.290780530968056,0.00216502933303838,0.004583050857802594,*
n_P229,Isocitric acid,CDC_ID_484,SA,251.5487040988399,7.974693947098427,0.00216502933303838,0.004583050857802594,*
n_P229,Isocitric acid,Isogenic,PA,0.853463297216932,-0.2285989827142169,0.0409135529844968,0.06845571387459323,
n_P229,Isocitric acid,SCFM_evolved,PA,0.8887787914206706,-0.17010370421491197,0.159864197547973,0.23815299012681693,
n_P229,Isocitric acid,USA300,SA,261.4962808085301,8.030646617328216,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,ATCC_29213,SA,10.939539768560222,3.4514801394545347,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,CDC_ID_234,PA,3.980288964322316,1.9928731725432116,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,CDC_ID_249,PA,2.1147663627078357,1.080498284630558,0.00493790547090731,0.009731186095386373,*
n_P240,Malonic acid,CDC_ID_258,PA,8.2387688064972,3.042428758588859,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,CDC_ID_474,SA,11.22574437086794,3.4887392070746492,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,CDC_ID_484,SA,9.066721530802246,3.1805809756392667,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,Isogenic,PA,7.634675752083021,2.9325668864529923,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,SCFM_evolved,PA,10.002680836369768,3.322314805987829,0.00216502933303838,0.004583050857802594,*
n_P240,Malonic acid,USA300,SA,7.759126355633885,2.9558942202796987,0.00216502933303838,0.004583050857802594,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,ATCC_29213,SA,0.7057742870919659,-0.5027212243625869,0.0151936099774602,0.027827052363125424,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,CDC_ID_234,PA,0.0021088077118516153,-8.88935673329788,0.00216502933303838,0.004583050857802594,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,CDC_ID_249,PA,0.6728417218123756,-0.5716609273656882,0.00729035809153564,0.013967831841816759,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,CDC_ID_258,PA,0.0020992603241238874,-8.895903201864826,0.00216502933303838,0.004583050857802594,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,CDC_ID_474,SA,0.9112815897643552,-0.13403117325964373,0.0966975676176362,0.15056051024101375,
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,CDC_ID_484,SA,0.8723410977639713,-0.19703573530839322,0.0966975676176362,0.15056051024101375,
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,Isogenic,PA,0.002145642158801781,-8.864374795132976,0.00216502933303838,0.004583050857802594,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,SCFM_evolved,PA,0.002179425173106247,-8.841836612625007,0.00216502933303838,0.004583050857802594,*
n_P246,[FAamino(5:0)]2S-amino-pentanoicacid,USA300,SA,0.8588138113616243,-0.21958270222036677,0.125201029610315,0.19135646818753393,
n_P250,Glycolate,ATCC_29213,SA,0.39276030835741893,-1.3482789540057927,0.00493790547090731,0.009731186095386373,*
n_P250,Glycolate,CDC_ID_234,PA,0.7199697349078195,-0.4739918330770189,0.0298420644179543,0.05108035980929065,
n_P250,Glycolate,CDC_ID_249,PA,0.6648773515550912,-0.5888398604727834,0.00216502933303838,0.004583050857802594,*
n_P250,Glycolate,CDC_ID_258,PA,0.7848807190197402,-0.3494546754745408,0.0409135529844968,0.06845571387459323,
n_P250,Glycolate,CDC_ID_474,SA,0.28830614029632984,-1.7943265314477799,0.00216502933303838,0.004583050857802594,*
n_P250,Glycolate,CDC_ID_484,SA,0.3507653909643804,-1.5114216867490087,0.00216502933303838,0.004583050857802594,*
n_P250,Glycolate,Isogenic,PA,0.6242613003606584,-0.6797780628720834,0.0298420644179543,0.05108035980929065,
n_P250,Glycolate,SCFM_evolved,PA,0.8184446433731818,-0.2890432535474239,0.159864197547973,0.23815299012681693,
n_P250,Glycolate,USA300,SA,0.33921930509068,-1.5597098183646183,0.00216502933303838,0.004583050857802594,*
n_P257,N-Acetylglycine,ATCC_29213,SA,1.7900196763161689,0.8399754460189962,0.0214507336863221,0.038245913815486594,*
n_P257,N-Acetylglycine,CDC_ID_234,PA,0.23718286232889388,-2.07592832331006,0.201336485287401,0.29178302944727963,
n_P257,N-Acetylglycine,CDC_ID_249,PA,0.9979274227481865,-0.002993199814545233,0.701478108866614,0.7879082415171109,
n_P257,N-Acetylglycine,CDC_ID_258,PA,0.5605406021657021,-0.8351092179822774,0.125201029610315,0.19135646818753393,
n_P257,N-Acetylglycine,CDC_ID_474,SA,25.132212662838377,4.651465787879825,0.250153007959382,0.35083493821003153,
n_P257,N-Acetylglycine,CDC_ID_484,SA,1.4998589140995433,0.584826798386542,0.371093369522698,0.48731870923380327,
n_P257,N-Acetylglycine,Isogenic,PA,0.32674790012274685,-1.6137501304572712,0.201336485287401,0.29178302944727963,
n_P257,N-Acetylglycine,SCFM_evolved,PA,22.531547032197373,4.493874468338897,0.701478108866614,0.7879082415171109,
n_P257,N-Acetylglycine,USA300,SA,0.44023181691147123,-1.1836646778686764,0.0409135529844968,0.06845571387459323,
n_P259,Orotic acid,ATCC_29213,SA,457.7555371026103,8.838433527030897,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,CDC_ID_234,PA,222.0985344201331,7.795056062660599,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,CDC_ID_249,PA,186.67186895742498,7.544360722730038,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,CDC_ID_258,PA,191.3849952073508,7.580333915165487,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,CDC_ID_474,SA,2307.0720637531076,11.17184735344045,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,CDC_ID_484,SA,367.9865548069119,8.523509245003346,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,Isogenic,PA,224.3684734687865,7.809726163557611,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,SCFM_evolved,PA,215.074215286086,7.748690763774741,0.00216502933303838,0.004583050857802594,*
n_P259,Orotic acid,USA300,SA,131.6386393122036,7.040439208954595,0.00216502933303838,0.004583050857802594,*
n_P278,3-Hydroxypropenoate,ATCC_29213,SA,131.17086913480844,7.035303546764665,0.00216502933303838,0.004583050857802594,*
n_P278,3-Hydroxypropenoate,CDC_ID_234,PA,0.5291776651456328,-0.918175923413678,0.125201029610315,0.19135646818753393,
n_P278,3-Hydroxypropenoate,CDC_ID_249,PA,0.45718959504193085,-1.1291355245638028,0.0736382701203026,0.11763807312604588,
n_P278,3-Hydroxypropenoate,CDC_ID_258,PA,0.6095442348620382,-0.7141971733028863,0.250153007959382,0.35083493821003153,
n_P278,3-Hydroxypropenoate,CDC_ID_474,SA,463.0398239715308,8.854992468304495,0.00216502933303838,0.004583050857802594,*
n_P278,3-Hydroxypropenoate,CDC_ID_484,SA,53.59677848650155,5.744074382861029,0.00216502933303838,0.004583050857802594,*
n_P278,3-Hydroxypropenoate,Isogenic,PA,0.7346244279566085,-0.4449212250825464,0.125201029610315,0.19135646818753393,
n_P278,3-Hydroxypropenoate,SCFM_evolved,PA,0.7079009925563771,-0.49838049663577244,0.201336485287401,0.29178302944727963,
n_P278,3-Hydroxypropenoate,USA300,SA,41.720807343010485,5.382695170733724,0.00216502933303838,0.004583050857802594,*
n_P283,2-Oxoglutaric acid,ATCC_29213,SA,3025.411113841653,11.56291548377682,0.00216502933303838,0.004583050857802594,*
n_P283,2-Oxoglutaric acid,CDC_ID_234,PA,0.18771481503955048,-2.413385578226125,0.00216502933303838,0.004583050857802594,*
n_P283,2-Oxoglutaric acid,CDC_ID_249,PA,0.7104033564771699,-0.49328969681205687,0.0214507336863221,0.038245913815486594,*
n_P283,2-Oxoglutaric acid,CDC_ID_258,PA,0.3592503313860289,-1.4769386074079238,0.00216502933303838,0.004583050857802594,*
n_P283,2-Oxoglutaric acid,CDC_ID_474,SA,2918.8093422281286,11.511164261173615,0.00216502933303838,0.004583050857802594,*
n_P283,2-Oxoglutaric acid,CDC_ID_484,SA,3247.24422264068,11.665000177306627,0.00216502933303838,0.004583050857802594,*
n_P283,2-Oxoglutaric acid,Isogenic,PA,0.9408144880168565,-0.08801781784538468,0.522903234512671,0.6397075933908261,
n_P283,2-Oxoglutaric acid,SCFM_evolved,PA,0.9549540342914187,-0.06649680267697076,1,1,
n_P283,2-Oxoglutaric acid,USA300,SA,2768.914253302589,11.435104662220107,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,ATCC_29213,SA,142.87684534416843,7.158628321647115,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,CDC_ID_234,PA,0.13440684187354748,-2.8953215156560903,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,CDC_ID_249,PA,0.05324409202650317,-4.231234737242395,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,CDC_ID_258,PA,0.01545435456463915,-6.015842787007812,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,CDC_ID_474,SA,111.80517035091425,6.804843095908845,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,CDC_ID_484,SA,134.1036164286945,7.067204333306393,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,Isogenic,PA,0.055386760567837444,-4.1743150284062684,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,SCFM_evolved,PA,0.05174996216322915,-4.27229838198289,0.00216502933303838,0.004583050857802594,*
n_P284,Succinic semialdehyde,USA300,SA,153.78783841816377,7.264797608890227,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,ATCC_29213,SA,0.17526194627168692,-2.5124153097697346,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,CDC_ID_234,PA,0.004053680614284983,-7.946551859976361,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,CDC_ID_249,PA,0.0053906577556292485,-7.535322966621543,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,CDC_ID_258,PA,0.004988403915360948,-7.647205998505009,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,CDC_ID_474,SA,0.02234597903900977,-5.483840935205954,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,CDC_ID_484,SA,0.10208518346523657,-3.2921546046988515,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,Isogenic,PA,0.00492921348504777,-7.664426818940021,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,SCFM_evolved,PA,0.0025806256923287026,-8.598063384215228,0.00216502933303838,0.004583050857802594,*
n_P290,D-(-)-Fructose,USA300,SA,0.14428389014387075,-2.7930178685648817,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,ATCC_29213,SA,0.36524768362533894,-1.4530529712982414,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,CDC_ID_234,PA,0.0049608015918050415,-7.65521102713781,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,CDC_ID_249,PA,0.005724172970297875,-7.448717017275942,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,CDC_ID_258,PA,0.005372638215530175,-7.5401535920169325,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,CDC_ID_474,SA,0.0884003913204386,-3.499803433791427,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,CDC_ID_484,SA,0.23494430052654436,-2.0896093248151764,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,Isogenic,PA,0.006726800645226415,-7.215863781421458,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,SCFM_evolved,PA,0.006669542124940052,-7.228196563245115,0.00216502933303838,0.004583050857802594,*
n_P297,L-(+)-Lactic acid,USA300,SA,0.28909941219140184,-1.7903624194152283,0.00216502933303838,0.004583050857802594,*
n_P301,Uridine monophosphate (UMP),ATCC_29213,SA,0.7253789147237233,-0.46319328515352026,0.0552849927170241,0.09046635171876671,
n_P301,Uridine monophosphate (UMP),CDC_ID_234,PA,384.4701984097849,8.58672796410565,0.00216502933303838,0.004583050857802594,*
n_P301,Uridine monophosphate (UMP),CDC_ID_249,PA,273.51991005669396,8.095502043248086,0.00216502933303838,0.004583050857802594,*
n_P301,Uridine monophosphate (UMP),CDC_ID_258,PA,109.1585191341209,6.770280917748302,0.00216502933303838,0.004583050857802594,*
n_P301,Uridine monophosphate (UMP),CDC_ID_474,SA,0.6005964513127566,-0.7355321442823641,0.0409135529844968,0.06845571387459323,
n_P301,Uridine monophosphate (UMP),CDC_ID_484,SA,5.019945166821567,2.32767160561297,0.0298420644179543,0.05108035980929065,
n_P301,Uridine monophosphate (UMP),Isogenic,PA,445.7077238139309,8.799954151872932,0.00216502933303838,0.004583050857802594,*
n_P301,Uridine monophosphate (UMP),SCFM_evolved,PA,420.48300836999493,8.715903692429613,0.00216502933303838,0.004583050857802594,*
n_P301,Uridine monophosphate (UMP),USA300,SA,0.6829137716737391,-0.5502246672243063,0.00729035809153564,0.013967831841816759,*
n_P309,N-Acetyl-L-glutamine,ATCC_29213,SA,210.8290910380506,7.719930139295571,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,CDC_ID_234,PA,14.239819380579153,3.831858942006607,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,CDC_ID_249,PA,24.303396621543122,4.603086052611835,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,CDC_ID_258,PA,17.97372255563599,4.167817332692978,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,CDC_ID_474,SA,143.7375967274801,7.167293659488883,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,CDC_ID_484,SA,115.48253875313874,6.851530918830355,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,Isogenic,PA,85.18983788989905,6.4126094396548865,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,SCFM_evolved,PA,85.92462139237745,6.424999684585978,0.00216502933303838,0.004583050857802594,*
n_P309,N-Acetyl-L-glutamine,USA300,SA,85.40389416566227,6.416229948871338,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,ATCC_29213,SA,61.64869604599462,5.9459984748703505,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,CDC_ID_234,PA,39.25794547683389,5.294912767743866,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,CDC_ID_249,PA,13.881219286466015,3.795062390561487,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,CDC_ID_258,PA,16.156945897888132,4.014082610156224,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,CDC_ID_474,SA,13.397185257867607,3.7438580178783583,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,CDC_ID_484,SA,16.128794580070675,4.0115667145130605,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,Isogenic,PA,19.105685133852788,4.255930088855424,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,SCFM_evolved,PA,27.53314008921564,4.783097250145964,0.00216502933303838,0.004583050857802594,*
n_P318,N-Acetyl-L-aspartic acid,USA300,SA,42.478392717822786,5.408657273885005,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,ATCC_29213,SA,3.966774051149176,1.9879662234044853,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,CDC_ID_234,PA,101.30386337845285,6.662545384354578,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,CDC_ID_249,PA,169.40693199195425,7.404349099544021,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,CDC_ID_258,PA,125.8299784560503,6.975331868887248,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,CDC_ID_474,SA,6.0771910454130875,2.6034046458302718,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,CDC_ID_484,SA,7.315856689701871,2.871026814413933,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,Isogenic,PA,132.27437839656034,7.047389827808717,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,SCFM_evolved,PA,135.45360293994653,7.081654958172257,0.00216502933303838,0.004583050857802594,*
n_P323,Pseudouridine,USA300,SA,11.231053691666373,3.4894213818804944,0.00216502933303838,0.004583050857802594,*
