strain,species,replicate,Peak,Name,Formula,KEGG_ID,Molecular Weight,RT [min],mzVault Best Match,mzCloud Best Match,MS2,Area,normalizedArea
ATCC_29213,SA,R2,p_P415,Proline,C5 H9 N O2,C00148,115.06336,1.281,87.5,88.2,DDA for preferred ion,50653849.66,2.139694205147773
ATCC_29213,SA,R2,p_P417,D-(+)-Pipecolinic acid,C6 H11 N O2,NA,129.07893,1.289,94,83.8,DDA for preferred ion,5635738.317,-0.666810456933348
ATCC_29213,SA,R2,p_P428,L-Histidine,C6 H9 N3 O2,C00135,155.06939,1.303,94,86.6,DDA for preferred ion,863665.8413,0.11399333193199013
ATCC_29213,SA,R2,p_P432,2-Mercaptoethanol,C2 H6 O S,C00928,78.0141,1.309,84.3,85.7,DDA for preferred ion,1640809.002,0.4545700782587758
ATCC_29213,SA,R2,p_P435,Epinephrine,C9 H13 N O3,C00788,183.08944,1.313,80.9,72.7,DDA for preferred ion,8330135.211,2.4308533166208655
ATCC_29213,SA,R2,p_P456,Trigonelline,C7 H7 N O2,C01004,137.04763,1.34,91.7,86.3,DDA for preferred ion,274018.4086,0.3118919596867258
ATCC_29213,SA,R2,p_P496,Acetyl-beta-methylcholine,C8 H17 N O2,C07471,159.12587,1.371,79.6,92.1,DDA for preferred ion,669055.9521,-1.5067320477032986
ATCC_29213,SA,R2,p_P507,Triisopropanolamine,C9 H21 N O3,NA,191.15207,1.382,83.1,81.2,DDA for preferred ion,493300.0615,-0.6421036012568635
ATCC_29213,SA,R2,p_P509,N6-Acetyl-L-lysine,C8 H16 N2 O3,C02727,188.11592,1.385,96.7,90.4,DDA for preferred ion,543757.3731,-1.3454938070206488
ATCC_29213,SA,R2,p_P513,"5,6-Dihydrouracil",C4 H6 N2 O2,C00429,114.04302,1.395,72.3,NA,DDA for preferred ion,201601.1977,-1.8841663058585318
ATCC_29213,SA,R2,p_P518,Adenine,C5 H5 N5,C00147,135.05441,1.417,81.3,83.5,DDA for preferred ion,9924037.917,3.0192854627907693
ATCC_29213,SA,R2,p_P522,L-(-)-Methionine,C5 H11 N O2 S,C00073,149.05098,1.427,94.5,91,DDA for preferred ion,3295558850,0.49010551929364254
ATCC_29213,SA,R2,p_P531,Acetylarginine,C8 H16 N4 O3,NA,216.12229,1.452,90.9,94.3,DDA for preferred ion,152869436.2,5.479648323335674
ATCC_29213,SA,R2,p_P539,Uracil,C4 H4 N2 O2,C00106,112.02733,1.465,90.3,88.8,DDA for preferred ion,506567.2438,-3.43719206395021
ATCC_29213,SA,R2,p_P549,Nicotinic acid,C6 H5 N O2,C00253,123.03203,1.504,92.6,89.2,DDA for preferred ion,201925.6438,-3.411207428028032
ATCC_29213,SA,R2,p_P559,N-Acetyl-L-carnosine,C11 H16 N4 O4,NA,268.11724,1.532,86.6,81.5,DDA for preferred ion,7097868.877,5.261891949630478
ATCC_29213,SA,R2,p_P567,4-Aminophenol,C6 H7 N O,C02372,109.05278,1.543,94.8,89.1,DDA for preferred ion,102025.6015,-1.1925451938977858
ATCC_29213,SA,R2,p_P581,Salicylic acid,C7 H6 O3,C00805,138.0317,1.56,84.5,80.1,DDA for preferred ion,58057.58864,-2.520694533204395
ATCC_29213,SA,R2,p_P595,Reduced glutathione,C10 H17 N3 O6 S,C02471,307.08372,1.568,57.9,60.3,DDA for preferred ion,2783828.525,4.859068482476733
ATCC_29213,SA,R2,p_P605,Urocanic acid,C6 H6 N2 O2,C00785,138.04289,1.622,96.7,89.9,DDA for preferred ion,7531805.879,0.8777680359457811
ATCC_29213,SA,R2,p_P616,6-Aminocaproic acid,C6 H13 N O2,C02378,131.09457,1.695,93.7,89.3,DDA for preferred ion,9328376.305,3.3211385620921554
ATCC_29213,SA,R2,p_P617,Nicotinamide,C6 H6 N2 O,C00153,122.04801,1.698,88.5,84.7,DDA for preferred ion,276559.8405,-2.089589819825232
ATCC_29213,SA,R2,p_P620,L-Arginine,C6 H14 N4 O2,C00062,174.11158,1.716,91.3,86.3,DDA for preferred ion,189101.9466,-2.070491387417924
ATCC_29213,SA,R2,p_P632,1_2-Diaminobenzene,C6 H8 N2,NA,108.06881,1.771,NA,74.5,DDA for preferred ion,21817.23178,-2.2627633597923182
ATCC_29213,SA,R2,p_P639,Adenosine 5'-monophosphate,C10 H14 N5 O7 P,C00020,347.06263,1.798,96.5,89.3,DDA for preferred ion,265602.7418,-4.393562863465959
ATCC_29213,SA,R2,p_P647,Cytosine,C4 H5 N3 O,C00380,111.04332,1.829,97.4,91.9,DDA for preferred ion,1287942.742,-1.3541805707036048
ATCC_29213,SA,R2,p_P674,Methyl 2-[(2-methoxy-2-oxoethyl)amino]acetate,C6 H11 N O4,NA,161.06873,1.915,78.6,74.3,DDA for preferred ion,18140098.5,0.9019795398291564
ATCC_29213,SA,R2,p_P681,N5-(L-1-Carboxyethyl)-L-ornithine,C8 H16 N2 O4,C04210,204.11099,1.926,NA,71.2,DDA for preferred ion,33586.1879,-2.16176256703249
ATCC_29213,SA,R2,p_P699,Uric acid,C5 H4 N4 O3,C00366,168.02829,1.966,96.3,88,DDA for preferred ion,135382.9472,-2.138421754940069
ATCC_29213,SA,R2,p_P707,L-Isoleucine,C6 H13 N O2,C00407,131.09454,2.024,97.6,90.9,DDA for preferred ion,526224756.3,3.1092019783272917
ATCC_29213,SA,R2,p_P708,trans-3-Hexenoic acid,C6 H10 O2,NA,114.06795,2.027,82.4,74.8,DDA for preferred ion,480699661.5,2.222101383430946
ATCC_29213,SA,R2,p_P726,L-Norleucine,C6 H13 N O2,C01933,131.09452,2.147,96.9,93.5,DDA for preferred ion,7494119219,4.084386115155702
ATCC_29213,SA,R2,p_P728,7-Methylguanine,C6 H7 N5 O,C02242,165.065,2.149,92.2,91.6,DDA for preferred ion,283048.4794,-1.8718607068154078
ATCC_29213,SA,R2,p_P732,L-Pyroglutamic acid,C5 H7 N O3,C01879,129.04261,2.152,91.1,81.5,DDA for preferred ion,1277942.578,-0.5052847114298906
ATCC_29213,SA,R2,p_P738,N-Acetyl-L-glutamate,C7 H11 N O5,C00624,189.06366,2.153,89.4,NA,DDA for preferred ion,8236532.109,0.31014447400397316
ATCC_29213,SA,R2,p_P750,Carnosine,C9 H14 N4 O3,D01611,226.10665,2.192,78.4,78.1,DDA for preferred ion,408791.6963,-0.2779411469364561
ATCC_29213,SA,R2,p_P758,1-Methyladenine,C6 H7 N5,C02216,149.07001,2.22,NA,74.5,DDA for preferred ion,178164.3552,-1.7046901943182817
ATCC_29213,SA,R2,p_P763,L-Leucine,C6 H13 N O2,C00123,131.09453,2.246,91.9,87,DDA for preferred ion,187104480.9,-0.15379756447402926
ATCC_29213,SA,R2,p_P780,?-Alanine,C3 H7 N O2,C00099,89.04781,2.309,69.3,61.3,DDA for preferred ion,10885964.38,4.826648992278283
ATCC_29213,SA,R2,p_P785,trans-4-Hydroxy-L-proline,C5 H9 N O3,C01157,131.0582,2.314,92,NA,DDA for preferred ion,22073392.39,4.29051415914072
ATCC_29213,SA,R2,p_P787,Acadesine,C9 H14 N4 O5,D02742,258.09644,2.323,96.2,89.6,DDA for preferred ion,4837838.146,1.4137314165595036
ATCC_29213,SA,R2,p_P793,Xanthine,C5 H4 N4 O2,C00385,152.03331,2.347,80.2,NA,DDA for preferred ion,159885.5847,-2.369375650546221
ATCC_29213,SA,R2,p_P803,L-Tyrosine,C9 H11 N O3,C00082,181.0738,2.377,94.4,93.4,DDA for preferred ion,3053720512,4.300046621558927
ATCC_29213,SA,R2,p_P804,2-Hydroxycinnamic acid,C9 H8 O3,C01772,164.04723,2.377,69.6,86.7,DDA for preferred ion,3109153061,4.323378879846548
ATCC_29213,SA,R2,p_P806,Coumarin,C9 H6 O2,C05851,146.03671,2.378,84.9,82.2,DDA for preferred ion,91290437.11,4.397907870677528
ATCC_29213,SA,R2,p_P861,1-Pyrroline-4-hydroxy-2-carboxylate,C5 H7 N O3,C04282,129.04258,2.503,NA,74,DDA for preferred ion,663074.0138,-0.138670484457041
ATCC_29213,SA,R2,p_P883,Guanine,C5 H5 N5 O,C00242,151.0493,2.553,99.3,92,DDA for preferred ion,71230.57179,-4.1188289515008485
ATCC_29213,SA,R2,p_P884,Adenosine 3'5'-cyclic monophosphate,C10 H12 N5 O6 P,C00575,329.05243,2.562,86.4,73.9,DDA for preferred ion,1108105.96,1.1830452451562152
ATCC_29213,SA,R2,p_P904,DL-Arginine,C6 H14 N4 O2,C02385,174.1116,2.648,94,91.8,DDA for preferred ion,84796.41155,-2.4009989195775994
ATCC_29213,SA,R2,p_P920,Carbimazole,C7 H10 N2 O2 S,C07615,186.04621,2.673,59.1,66.8,DDA for preferred ion,785009.6386,3.2245639133340447
ATCC_29213,SA,R2,p_P940,Thymidine 5'-monophosphate,C10 H15 N2 O8 P,C00364,322.05627,2.691,97.5,87.8,DDA for preferred ion,173304.3167,-2.9819703792303933
ATCC_29213,SA,R2,p_P951,Thymine,C5 H6 N2 O2,C00178,126.0429,2.717,95.7,89.4,DDA for preferred ion,10093558.95,1.7091609460855715
ATCC_29213,SA,R2,p_P952,N-(2-Methoxyphenyl)acetamide,C9 H11 N O2,NA,165.07879,2.717,56.1,61,DDA for preferred ion,329219.3812,1.1151166935569883
ATCC_29213,SA,R2,p_P979,Tyrosylalanine,C12 H16 N2 O4,NA,252.11101,2.804,93.5,86.6,DDA for preferred ion,43593.19452,-2.7121484175979163
ATCC_29213,SA,R2,p_P998,Cyclohexylamine,C6 H13 N,C00571,99.10491,2.856,NA,88,DDA for preferred ion,8993710.853,-0.22870614035086945
ATCC_29213,SA,R2,p_P1026,Norepinephrine(Noradrenaline),C8 H11 N O3,C00547,169.07384,2.937,NA,85.3,DDA for preferred ion,298938.6327,1.0569824603155134
ATCC_29213,SA,R2,p_P1030,3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde oxime,C8 H10 N2 O3,NA,182.06904,2.943,95.5,94.9,DDA for preferred ion,25645.33211,-4.0787046837986125
ATCC_29213,SA,R2,p_P1033,Adenosine,C10 H13 N5 O4,C00212,267.09674,2.962,89.8,81.1,DDA for preferred ion,1863345.131,2.848213649457378
ATCC_29213,SA,R2,p_P1045,Sorbic acid,C6 H8 O2,D02411,112.05251,3.003,80,60.5,DDA for preferred ion,2598389.679,2.0570440792879054
ATCC_29213,SA,R2,p_P1046,6-Hydroxynicotinic acid,C6 H5 N O3,C01020,139.02689,3.005,57.9,87.8,DDA for preferred ion,23806.45653,-1.9127698780387412
ATCC_29213,SA,R2,p_P1097,allopurinol,C5 H4 N4 O,D00224,136.03851,3.183,NA,70.6,DDA for preferred ion,429127.5063,3.4799406689094887
ATCC_29213,SA,R2,p_P1120,2-Hydroxyphenylalanine,C9 H11 N O3,NA,181.07378,3.246,80.4,72.3,DDA for preferred ion,2606311.272,0.5202717274608339
ATCC_29213,SA,R2,p_P1125,5-Valerolactone,C5 H8 O2,C02240,100.05252,3.26,NA,62,DDA for preferred ion,216277.5532,-0.9707574325462573
ATCC_29213,SA,R2,p_P1176,"N,N-dimethyl-9H-purin-6-amine",C7 H9 N5,NA,163.08573,3.426,50.6,70,DDA for preferred ion,335401.9445,-1.7938057090526947
ATCC_29213,SA,R2,p_P1192,L-Phenylalanine,C9 H11 N O2,C00079,165.07881,3.473,96,90.5,DDA for preferred ion,4998130339,4.75060486578715
ATCC_29213,SA,R2,p_P1228,2-Hydroxy-2-methylbutyronitrile,C5 H9 N O,NA,99.06849,3.549,NA,84.3,DDA for preferred ion,763650.7045,-2.792706870792415
ATCC_29213,SA,R2,p_P1305,2-Phenylglycine,C8 H9 N O2,NA,151.06322,3.739,74.1,NA,DDA for preferred ion,81464.43082,-3.013065360831778
ATCC_29213,SA,R2,p_P1326,Glycyl-L-leucine,C8 H16 N2 O3,C02155,188.11597,3.782,93.3,87.7,DDA for preferred ion,27969.84285,-2.9063528496974467
ATCC_29213,SA,R2,p_P1334,Aspartame,C14 H18 N2 O5,D02381,294.12162,3.838,64,NA,DDA for preferred ion,25041.13516,-3.253026089576286
ATCC_29213,SA,R2,p_P1346,NP-016455,C11 H18 N2 O4,NA,242.12665,3.944,NA,75.6,DDA for preferred ion,25493.69713,-2.21557383252326
ATCC_29213,SA,R2,p_P1375,"N6-[(5-nitro-2-thienyl)methylidene]-2,3-dihydro-1,4-benzodioxin-6-amine",C13 H10 N2 O4 S,NA,290.03624,4.011,NA,62.2,DDA for preferred ion,226953.9148,-1.5396537912522597
ATCC_29213,SA,R2,p_P1433,Hypoxanthine,C5 H4 N4 O,C00262,136.03846,4.15,90.7,88.3,DDA for preferred ion,29910.71539,-4.648101705377904
ATCC_29213,SA,R2,p_P1443,Pantothenate,C9 H17 N O5,C00864,219.11067,4.185,92,NA,DDA for preferred ion,3809988.553,-0.4903833795112966
ATCC_29213,SA,R2,p_P1524,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,C11 H22 N2 O3,NA,230.16306,4.511,67.5,64.7,DDA for preferred ion,35031.4634,-2.6946193645156047
ATCC_29213,SA,R2,p_P1540,Paraquat,C12 H14 N2,C14701,186.11568,4.574,NA,67.3,DDA for preferred ion,40964.42434,-1.9701592253497058
ATCC_29213,SA,R2,p_P1546,Harmine,C13 H12 N2 O,C06538,212.09472,4.598,85.5,NA,DDA for preferred ion,33246.13495,-1.8471306599016568
ATCC_29213,SA,R2,p_P1551,"2-(Methylamino)-2,3-dihydro-1H-benzo[de]isoquinoline-1,3-dione",C13 H10 N2 O2,NA,226.07428,4.607,NA,78.5,DDA for preferred ion,23701.58098,-1.9110198834912637
ATCC_29213,SA,R2,p_P1560,"6,7-dihydro-5H-dibenzo[d,f][1,3]diazepin-6-one",C13 H10 N2 O,NA,210.07928,4.655,NA,75.7,DDA for preferred ion,158442.498,-5.124419081814281
ATCC_29213,SA,R2,p_P1605,DL-Tryptophan,C11 H12 N2 O2,C00806,204.08981,4.882,99.2,96.7,DDA for preferred ion,233181727.4,3.348066621429844
ATCC_29213,SA,R2,p_P1606,8-Hydroxyquinoline,C9 H7 N O,C19434,145.0527,4.882,57.9,61.4,DDA for preferred ion,3170501.919,2.748655445713027
ATCC_29213,SA,R2,p_P1609,Isoquinoline,C9 H7 N,C06323,129.05783,4.883,68.4,76.6,DDA for preferred ion,2016765.977,2.458893733355538
ATCC_29213,SA,R2,p_P1610,"1,5-Naphthalenediamine",C10 H10 N2,C19463,158.08434,4.883,66.7,64.6,DDA for preferred ion,3839208.261,2.8870962619744596
ATCC_29213,SA,R2,p_P1612,Indole-3-acrylic acid,C11 H9 N O2,NA,187.06323,4.885,97,89,DDA for preferred ion,228159043.9,3.353788211059193
ATCC_29213,SA,R2,p_P1632,Methionine,C5 H11 N O2 S,C01733,149.05097,4.935,93.1,90.8,DDA for preferred ion,1700076.408,-1.1718704285889245
ATCC_29213,SA,R2,p_P1656,Phloroglucinol,C6 H6 O3,C02183,126.03164,4.976,57.2,74.1,DDA for preferred ion,59690.52873,-2.3339637691760586
ATCC_29213,SA,R2,p_P1669,Valine,C5 H11 N O2,C00183,117.07896,5.01,88.5,85.4,DDA for preferred ion,1097431.416,-1.875925490483219
ATCC_29213,SA,R2,p_P1697,Caprolactam,C6 H11 N O,C06593,113.0841,5.109,92.6,85.1,DDA for preferred ion,11932734.04,0.1356835682841364
ATCC_29213,SA,R2,p_P1723,?-Aspartylphenylalanine,C13 H16 N2 O5,NA,280.10606,5.279,75.8,73.9,DDA for preferred ion,1517180.076,3.458586135617203
ATCC_29213,SA,R2,p_P1724,N-Acetyl-L-tyrosine,C11 H13 N O4,C01657,223.08447,5.281,95.8,91.2,DDA for preferred ion,725794.4636,-0.21045536030612766
ATCC_29213,SA,R2,p_P1739,1(2H)-Isoquinolinone,C9 H7 N O,C06324,145.05266,5.382,NA,78.3,DDA for preferred ion,64694.53478,-0.9045297017648366
ATCC_29213,SA,R2,p_P1761,2-Acetamidophenol,C8 H9 N O2,NA,151.06327,5.552,99.2,93.3,DDA for preferred ion,46434.01821,-4.021570847557122
ATCC_29213,SA,R2,p_P1767,"1-(2,4-Dihydroxyquinolin-3-yl)ethan-1-one",C11 H9 N O3,NA,203.05828,5.577,81.1,82.5,DDA for preferred ion,18940.57583,-2.067207285131696
ATCC_29213,SA,R2,p_P1769,NP-003319,C11 H14 N4 O4 S,NA,298.0735,5.581,NA,84.6,DDA for preferred ion,735891.4046,0.2928572812338395
ATCC_29213,SA,R2,p_P1775,6-Methylquinoline,C10 H9 N,NA,143.07344,5.644,57.6,88.8,DDA for preferred ion,606520.773,2.065723364119439
ATCC_29213,SA,R2,p_P1776,"2,3,4,9-Tetrahydro-1H-?-carboline-3-carboxylic acid",C12 H12 N2 O2,NA,216.08993,5.644,92.5,90,DDA for preferred ion,1717959.433,2.8150723613056456
ATCC_29213,SA,R2,p_P1800,N-Benzylformamide,C8 H9 N O,C15561,135.06835,5.775,76.5,75.7,DDA for preferred ion,160834.5111,-2.361941030171721
ATCC_29213,SA,R2,p_P1814,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14 H20 N2 O3,NA,264.14748,5.848,NA,81.5,DDA for preferred ion,20108.82437,-3.3609488076603213
ATCC_29213,SA,R2,p_P1826,Kynurenic acid,C10 H7 N O3,C01717,189.0425,5.966,94,93.1,DDA for preferred ion,20841.20846,-4.271872810140346
ATCC_29213,SA,R2,p_P1841,4-Hydroxybenzaldehyde,C7 H6 O2,C00633,122.03679,6.107,91.3,86.1,DDA for preferred ion,214750.6133,-0.7716920711748365
ATCC_29213,SA,R2,p_P1847,3-Methyl-quinolin-2-ol,C10 H9 N O,NA,159.06836,6.141,NA,82.6,DDA for preferred ion,47604.68353,-5.024937270521804
ATCC_29213,SA,R2,p_P1857,3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile,C14 H13 N3 O2,NA,255.10076,6.211,NA,70.1,DDA for preferred ion,36663.11107,-1.2495098240303317
ATCC_29213,SA,R2,p_P1858,Anthranilic acid,C7 H7 N O2,C00108,137.04764,6.242,95.3,90.1,DDA for preferred ion,56982.65467,-6.791056980249232
ATCC_29213,SA,R2,p_P1868,Indole-3-butyric acid,C12 H13 N O2,C11284,203.09469000000001,6.293,98.2,90.7,DDA for preferred ion,24314.38937,-2.2796538654671057
ATCC_29213,SA,R2,p_P1892,N1-(2-{2-[2-(acetylamino)phenoxy]ethoxy}phenyl)acetamide,C18 H20 N2 O4,NA,328.1422,6.496,65.4,61.7,DDA for preferred ion,19576.67036,-3.218498737701424
ATCC_29213,SA,R2,p_P1905,4-Acetamidobenzoic acid,C9 H9 N O3,D03836,179.05821,6.601,91.3,85.3,DDA for preferred ion,18661.29071,-3.1350834589200467
ATCC_29213,SA,R2,p_P1937,N-Methylcaprolactam,C7 H13 N O,NA,127.09967,6.878,NA,60.2,DDA for preferred ion,612531.4269,-3.4550536686891355
ATCC_29213,SA,R2,p_P1957,Tolycaine,C15 H22 N2 O3,NA,278.16318,6.969,77.1,73.3,DDA for preferred ion,47291.61051,-1.911167753785822
ATCC_29213,SA,R2,p_P1973,2-oxo-1_2-dihydroquinoline-4-carboxylate,C10 H7 N O3,C16715,189.04248,7.086,NA,74.1,DDA for preferred ion,18898.09404,-1.7211770520393053
ATCC_29213,SA,R2,p_P1975,2-cyano-3-(4-hydroxyphenyl)acrylamide,C10 H8 N2 O2,NA,188.05853,7.087,69.1,NA,DDA for preferred ion,161079.4681,-1.723631442086159
ATCC_29213,SA,R2,p_P1980,N-Acetyl-L-leucine,C8 H15 N O3,C02710,173.10506,7.153,97.8,91.4,DDA for preferred ion,3964265.557,-0.9702804434370336
ATCC_29213,SA,R2,p_P1998,Pyroquilon,C11 H11 N O,C18487,173.08405,7.213,NA,77.4,DDA for preferred ion,21831.57093,-3.195866155790208
ATCC_29213,SA,R2,p_P2005,2-Hydroxyquinoline,C9 H7 N O,C06338,145.05269,7.292,78.2,85,DDA for preferred ion,20438.51687,-3.409489331282728
ATCC_29213,SA,R2,p_P2029,6-Methoxyquinoline N-oxide,C10 H9 N O2,NA,175.06327,7.494,83.2,84,DDA for preferred ion,76905.5673,-4.7423597875115036
ATCC_29213,SA,R2,p_P2062,Indole-3-lactic acid,C11 H11 N O3,C02043,205.07402,7.858,90.9,89.5,DDA for preferred ion,1607703.684,2.7001611740586426
ATCC_29213,SA,R2,p_P2063,Desthiobiotin,C10 H18 N2 O3,C01909,214.13178,7.859,94.5,91.3,DDA for preferred ion,90543.83513,-3.3046399581503714
ATCC_29213,SA,R2,p_P2075,"3,3,5,5-Tetramethylpyrroline-N-oxide",C8 H15 N O,NA,141.11532,8.039,65.6,NA,DDA for preferred ion,385806.1137,0.10054666500431608
ATCC_29213,SA,R2,p_P2082,2-[(Dimethylamino)methylidene]indan-1-one,C12 H13 N O,NA,187.09968,8.104,51,78.5,DDA for preferred ion,22368.61773,-2.235991361463398
ATCC_29213,SA,R2,p_P2101,3-[(dimethylamino)methylene]-1H-2-benzothiopyran-4(3H)-one,C12 H13 N O S,NA,219.07179,8.363,NA,65.6,DDA for preferred ion,22214.28349,-1.5007805014287499
ATCC_29213,SA,R2,p_P2103,Acetanilide,C8 H9 N O,C02558,135.0684,8.377,73,71.5,DDA for preferred ion,109567.5805,-2.5066467660279983
ATCC_29213,SA,R2,p_P2109,"2,4-Quinolinediol",C9 H7 N O2,C16716,161.04761,8.487,83.3,90.7,DDA for preferred ion,45084.90222,-5.290051992632284
ATCC_29213,SA,R2,p_P2121,"1-(4-Methylphenyl)pyrrolidine-2,5-dione",C11 H11 N O2,NA,189.07895,8.706,56.6,65.9,DDA for preferred ion,22663.3225,-3.7235646291481572
ATCC_29213,SA,R2,p_P2122,"6-hydroxy-4-methyl-2-phenyl-2,3-dihydropyridazin-3-one",C11 H10 N2 O2,NA,202.07432,8.716,51.3,81.5,DDA for preferred ion,53398.48582,-2.724640166531188
ATCC_29213,SA,R2,p_P2129,5-Hydroxyindole-3-acetic acid,C10 H9 N O3,C05635,191.05783,8.869,78.3,67.9,DDA for preferred ion,20987.23179,-0.5653306189917213
ATCC_29213,SA,R2,p_P2135,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde",C13 H15 N O,NA,201.11539,9.044,65.2,80.4,DDA for preferred ion,24093.62512,-2.7283494052461954
ATCC_29213,SA,R2,p_P2143,"1,3,4,10-Tetrahydro-9(2H)-acridinone",C13 H13 N O,NA,199.09971,9.241,50.4,81,DDA for preferred ion,24900.76627,-3.799106220187822
ATCC_29213,SA,R2,p_P2147,4-Coumarylalcohol(4-Hydroxycoumarin),C9 H6 O3,NA,162.03165,9.48,NA,65.1,DDA for preferred ion,841679.5959,-0.49916933270011654
ATCC_29213,SA,R2,p_P2148,"4-(allyloxy)-1,2-dihydroquinolin-2-one",C12 H11 N O2,NA,201.07905,9.492,73.7,77.6,DDA for preferred ion,36198.23769,-2.9296955037247443
ATCC_29213,SA,R2,p_P2152,3-Indolebutyricacid,C12 H13 N O2,C11284,203.09468,9.612,NA,77.8,DDA for preferred ion,22787.55113,-2.6472928074579016
ATCC_29213,SA,R2,p_P2154,5-[4-(2-furylcarbonyl)piperazino]-5-oxo-3-phenylpentanoic acid,C20 H22 N2 O5,NA,370.15341,9.647,59.6,70.5,DDA for preferred ion,31254.64504,-2.7618927861596614
ATCC_29213,SA,R2,p_P2162,Lumichrome,C12 H10 N4 O2,C01727,242.08044,9.715,NA,83,DDA for preferred ion,77821.3369,-2.445520650987362
ATCC_29213,SA,R2,p_P2163,2-(1H-indol-3-yl)acetic acid,C10 H9 N O2,C00954,175.0633,9.723,56.9,79.8,DDA for preferred ion,22912.32343,-1.1124993576732702
